Luas lantai (m2),Jenis dinding,Jenis Lantai,Kepimilikan FTBAB,Sumber air minum,Sumber penerangan,Bahan bakar,Banyak ART,Outcome
35,1,2,1,3,1,7,2,1
108,1,2,1,3,1,7,4,1
72,1,2,1,3,1,7,6,1
105,1,2,1,3,1,7,5,1
35,3,5,4,3,1,10,3,1
60,1,2,1,3,1,7,8,1
88,1,2,1,2,1,7,5,1
28,3,5,1,7,1,10,3,0
91,1,2,1,7,1,7,4,1
84,1,2,1,7,1,10,3,1
135,1,2,1,2,1,7,7,1
117,1,2,1,2,1,7,4,1
117,1,2,1,7,1,10,5,0
63,3,6,1,7,1,10,6,1
72,1,2,1,2,1,7,4,1
126,1,2,1,7,1,7,5,1
117,1,6,1,3,1,10,6,0
91,1,6,1,3,1,7,2,1
54,1,4,1,7,1,10,4,1
24,3,6,6,3,1,7,4,0
30,1,6,1,2,1,7,6,1
40,3,8,6,7,4,10,6,0
91,1,6,1,7,1,10,4,1
66,1,6,1,7,1,10,8,0
90,1,2,1,2,1,10,4,0
66,1,6,1,7,1,10,2,1
20,3,5,2,5,2,7,5,1
20,3,5,1,3,1,10,6,0
66,1,2,1,2,1,7,9,1
66,1,6,1,2,1,7,15,0
32,1,6,1,2,1,3,7,1
84,1,2,1,2,1,7,10,1
72,1,6,1,2,1,7,4,0
30,3,6,1,5,1,7,9,0
98,1,2,1,2,1,7,3,1
48,1,6,1,5,1,10,5,0
54,1,2,1,5,1,10,7,0
96,1,4,1,2,1,7,4,1
18,3,6,2,5,2,10,6,0
45,1,6,1,5,1,10,5,1
60,1,4,2,5,1,7,4,0
80,1,6,1,2,1,7,4,1
58,1,4,1,3,1,10,2,1
72,1,6,1,2,1,10,15,0
114,1,6,1,2,1,7,10,0
60,1,6,1,2,1,7,4,0
54,1,6,1,3,1,10,13,0
48,3,6,1,3,1,10,9,0
108,1,2,1,2,1,2,3,1
24,3,7,6,3,1,10,3,0
46,1,2,1,3,1,7,6,1
42,1,2,1,3,1,10,10,0
42,1,6,1,3,1,10,10,0
54,1,2,1,2,1,10,6,1
18,3,7,2,3,1,7,4,1
42,1,2,1,3,1,10,9,0
28,3,5,2,7,1,10,4,0
160,1,2,1,7,1,10,4,1
28,3,5,1,7,1,10,5,1
96,1,6,1,7,1,10,5,1
56,1,2,1,7,1,10,11,0
63,1,6,1,7,1,10,5,0
66,1,2,1,7,1,7,3,1
