Luas lantai (m2),Jenis dinding,Jenis Lantai,Kepimilikan FTBAB,Sumber air minum,Sumber penerangan,Bahan bakar,Banyak ART,Outcome
88,1,2,1,5,1,7,4,1
35,3,6,1,5,1,7,3,1
30,3,6,2,5,2,10,2,1
36,3,5,1,5,2,7,4,1
56,3,6,1,5,1,7,6,1
175,1,2,1,5,1,7,2,1
63,3,5,1,4,1,10,5,1
63,1,6,6,4,2,7,8,1
24,3,5,6,4,1,10,4,1
35,3,5,6,4,2,7,6,1
63,1,6,6,4,1,10,5,1
63,1,2,1,4,1,10,4,1
54,1,2,1,4,1,7,3,1
35,1,6,1,4,1,7,4,1
72,1,2,1,4,1,2,4,1
36,3,5,1,3,1,7,4,1
54,3,6,6,3,2,10,4,1
72,3,8,6,7,1,7,3,1
41,1,2,6,3,2,10,5,0
64,3,6,6,7,1,10,6,0
288,3,5,1,2,1,4,4,1
66,3,5,6,7,1,10,4,0
54,3,6,1,3,1,10,6,0
54,1,6,1,7,2,7,1,1
90,3,5,6,3,1,7,3,1
96,1,2,1,3,1,7,3,1
64,3,5,6,10,2,10,6,1
56,3,5,2,10,1,10,4,0
45,1,6,1,3,1,10,9,0
40,3,5,6,10,1,10,5,0
32,4,5,6,10,2,10,2,1
36,3,5,6,10,1,10,4,0
54,3,6,1,10,1,10,7,1
84,1,6,6,10,1,10,3,1
72,1,2,1,2,1,7,2,1
77,1,2,1,3,1,10,6,1
72,3,5,1,3,1,10,8,1
57,3,5,1,3,1,7,3,1
144,1,2,1,3,1,7,3,1
98,3,5,1,3,1,10,4,1
105,1,2,1,3,1,7,4,1
42,3,5,6,3,2,10,3,1
63,1,6,6,10,1,7,2,1
76,3,5,1,3,1,10,2,1
54,3,5,1,3,1,7,5,1
83,3,5,1,3,1,10,2,0
60,3,5,1,3,1,7,5,0
63,1,6,2,10,1,10,5,0
84,3,5,1,10,1,10,4,1
72,1,6,1,2,1,7,3,1
35,3,6,6,10,1,10,5,0
180,1,2,1,2,1,3,2,1
50,3,5,1,10,1,10,4,0
87,1,6,6,10,2,7,6,0
72,3,5,1,2,1,7,2,1
35,3,6,1,10,1,7,3,1
150,1,2,1,3,1,10,4,1
96,3,6,1,10,1,10,4,1
144,1,2,1,3,1,7,7,1
20,3,5,2,3,2,10,3,1
42,1,2,1,3,1,4,5,1
64,1,6,1,3,1,10,5,1
96,1,2,1,3,1,3,2,1
24,3,6,1,3,1,7,3,0
72,3,5,1,3,1,10,3,1
78,3,5,1,4,1,7,5,0
108,1,2,1,8,1,7,4,1
46,3,5,1,7,1,10,1,1
18,1,2,2,2,1,7,3,1
60,3,6,1,7,1,10,6,0
40,3,6,2,7,2,10,5,1
66,1,6,1,7,1,10,5,1
119,1,2,1,1,1,7,3,1
42,3,5,6,7,2,10,4,1
85,1,6,1,7,1,10,3,1
35,1,6,2,7,1,10,5,0
20,3,5,6,5,2,0,1,1
91,1,2,1,5,1,7,5,1
47,3,5,2,5,1,10,5,0
42,3,5,2,5,2,10,7,0
28,3,5,1,5,2,7,2,1
69,3,5,1,5,1,10,4,1
105,1,2,1,5,1,3,3,1
59,3,5,2,5,1,10,5,0
74,1,6,1,5,1,10,4,1
69,3,5,6,5,1,10,4,0
36,3,8,2,10,1,10,3,0
36,3,5,1,10,2,10,1,1
63,3,5,1,10,1,10,10,0
51,3,6,1,10,1,10,4,1
126,1,2,1,10,1,7,3,1
59,3,5,1,10,1,7,4,1
115,1,6,1,10,1,7,5,1
73,1,6,1,10,1,10,4,0
60,3,5,2,10,1,10,2,1
54,3,6,6,10,2,10,2,1
32,3,5,2,10,2,10,7,0
24,3,5,1,10,2,10,4,0
54,3,5,2,10,1,10,3,1
35,1,6,2,10,1,10,5,1
20,3,5,2,2,2,7,3,1
25,3,5,1,10,1,10,4,1
150,1,2,1,10,1,10,1,1
54,1,2,1,10,1,10,5,0
36,3,5,2,10,1,10,6,0
24,3,5,2,10,2,10,1,0
77,1,2,1,5,1,10,5,1
96,1,6,1,5,1,10,4,1
54,3,6,1,5,1,10,4,1
54,3,6,1,5,1,10,4,1
20,3,8,2,5,1,7,3,1
63,1,6,1,5,1,10,3,0
60,1,6,6,5,1,10,4,1
28,3,5,1,5,1,10,3,0
72,1,6,1,5,1,10,4,0
63,3,6,1,5,1,10,5,1
20,3,8,1,5,1,10,7,0
35,3,6,1,5,1,10,3,1
35,1,6,1,5,1,10,5,1
63,1,8,2,5,1,10,2,1
63,1,2,1,5,1,10,4,1
70,1,2,1,5,1,10,5,0
35,3,5,1,5,1,10,2,1
80,1,6,1,5,1,4,4,1
35,3,5,1,5,1,10,3,1
35,3,5,1,5,1,10,4,0
99,1,6,1,5,1,10,4,1
20,3,5,6,6,2,10,1,1
36,3,5,1,5,2,10,3,0
72,3,6,1,5,1,10,6,1
30,3,5,6,5,2,10,2,0
54,3,6,1,5,1,10,4,0
20,3,5,6,5,2,10,1,1
21,3,5,6,5,2,10,8,0
119,1,2,1,5,1,4,2,1
60,1,2,1,4,1,7,7,1
63,1,6,1,5,1,10,5,1
77,1,2,1,4,1,4,4,1
63,1,6,1,4,1,10,2,1
35,1,2,2,5,1,10,3,1
35,3,5,2,5,1,10,3,0
72,3,5,6,5,2,10,7,0
63,1,2,1,5,1,10,4,1
45,1,2,1,6,1,10,11,0
24,3,5,2,5,2,10,4,0
72,3,8,1,5,1,7,3,1
70,1,2,1,5,1,7,2,1
55,3,5,2,5,1,10,4,1
104,1,2,1,5,1,7,5,1
66,3,5,2,5,1,10,5,0
45,3,8,1,5,1,10,4,1
60,3,5,1,5,1,7,4,1
90,3,5,2,4,1,7,2,1
105,1,2,1,5,2,7,3,1
72,1,2,2,5,1,7,5,1
84,1,6,1,5,1,7,4,1
84,3,5,1,7,3,10,5,1
60,3,6,1,7,4,10,8,1
63,3,5,1,7,3,10,6,0
30,3,5,1,7,3,10,1,1
32,3,5,1,7,3,7,7,0
78,3,4,1,7,3,10,7,1
63,3,5,1,7,3,10,7,1
104,3,5,1,7,3,3,9,1
42,3,5,1,7,3,10,4,1
40,3,5,1,7,3,10,6,1
63,3,6,1,5,1,10,2,1
36,3,5,6,4,1,10,3,0
36,1,6,6,4,1,10,5,0
20,3,6,6,4,1,10,1,1
84,1,6,1,5,1,10,5,1
36,3,6,6,4,1,10,4,1
80,3,6,6,5,1,10,2,1
60,1,6,1,4,1,10,3,1
84,3,5,6,4,1,10,2,1
108,3,6,6,5,2,10,8,0
60,3,5,6,4,1,10,5,0
40,3,5,1,5,1,10,5,0
35,3,6,6,4,1,7,4,1
16,3,5,6,5,1,10,4,0
32,3,5,1,4,1,10,4,1
18,3,5,6,5,2,10,4,0
68,3,6,2,5,1,10,4,0
42,1,6,6,5,2,10,5,0
20,3,5,2,4,1,10,6,1
63,1,2,1,4,1,7,4,1
52,1,2,6,4,1,7,3,1
94,1,2,1,4,1,10,5,1
50,3,5,2,4,1,10,3,0
16,3,5,1,4,2,10,2,0
63,3,5,6,5,1,10,4,1
160,1,2,1,4,1,7,6,1
32,3,5,1,5,1,10,4,0
116,1,2,1,4,1,7,3,1
20,3,5,6,5,1,0,1,1
24,3,5,6,4,1,10,5,0
72,1,2,1,5,1,7,3,1
55,1,6,1,5,1,10,7,0
72,1,2,2,5,1,10,4,1
80,3,5,1,5,1,10,6,1
67,1,2,1,5,2,7,5,1
56,3,5,1,2,1,10,4,1
60,3,5,1,2,1,10,4,1
103,3,5,1,2,1,7,5,1
16,3,5,1,5,2,9,6,1
59,3,5,1,5,1,7,4,1
32,3,5,1,8,1,10,1,1
45,3,5,1,8,1,10,6,1
88,1,2,1,2,1,7,5,1
63,1,6,1,8,1,10,2,1
65,3,6,2,7,1,10,4,1
84,1,6,1,8,1,10,3,1
35,3,5,2,2,2,10,3,1
132,1,6,1,8,1,10,4,1
66,1,6,1,8,1,10,6,1
61,3,5,2,8,2,10,4,0
54,3,5,1,8,2,10,1,1
24,3,7,1,8,4,10,1,1
49,1,6,1,8,2,10,4,1
210,1,6,1,8,1,7,1,1
30,3,6,1,8,2,10,4,0
77,3,5,1,8,1,10,5,0
63,3,5,1,8,3,10,5,1
42,3,5,1,8,1,10,4,1
49,1,6,1,8,1,10,5,1
47,3,5,1,8,1,10,4,1
74,1,2,1,4,1,7,2,1
74,1,6,1,4,1,7,4,1
60,1,2,1,2,1,3,4,1
77,1,2,1,4,1,10,3,1
63,3,6,1,4,1,7,2,1
177,1,2,1,2,1,7,4,1
40,3,6,2,4,1,7,5,0
45,3,5,6,5,2,7,2,1
24,3,6,6,2,1,7,3,1
92,1,6,1,4,1,10,5,1
32,3,5,2,5,2,10,3,0
40,1,6,1,5,2,10,2,1
40,3,5,2,5,2,10,3,1
45,3,5,2,3,1,7,3,1
74,1,6,1,5,1,10,4,0
37,3,5,6,5,1,7,5,0
45,3,5,2,4,2,10,7,0
24,3,5,2,4,1,10,4,1
26,3,5,6,5,2,10,1,1
45,3,5,2,5,2,10,6,0
30,3,5,6,10,4,10,8,0
21,3,5,6,10,4,10,2,1
35,3,5,6,10,4,10,2,1
35,3,5,6,10,4,10,2,1
12,3,7,6,10,4,10,2,1
35,3,5,6,10,4,10,2,1
30,3,5,6,8,4,10,4,1
40,3,5,6,10,4,10,7,0
55,3,5,6,10,4,10,4,0
47,3,5,1,10,3,10,5,1
325,1,2,1,2,1,2,5,1
224,1,2,1,4,1,3,5,1
144,1,4,1,2,1,4,4,1
102,1,6,1,5,1,4,3,1
119,1,4,1,5,1,4,3,1
135,1,4,1,4,1,4,5,1
300,1,4,1,4,1,4,2,1
63,3,8,1,5,1,4,5,1
160,1,4,1,5,1,4,3,1
63,3,6,1,5,2,4,1,1
240,1,4,1,2,1,4,5,1
200,1,6,1,4,1,4,5,1
136,1,4,1,3,1,4,4,1
105,3,6,1,2,1,4,3,1
28,1,4,1,2,1,4,2,1
105,1,4,1,4,1,4,5,1
49,3,6,1,2,1,4,4,1
300,1,4,1,4,1,4,5,1
150,1,4,1,2,1,4,1,1
67,3,6,1,5,1,4,5,1
48,1,6,1,5,1,4,1,1
120,1,2,1,5,2,4,9,1
135,1,2,1,2,1,4,7,1
84,1,2,1,4,1,4,3,1
108,1,2,1,4,1,4,7,1
77,1,2,1,4,1,4,4,1
315,1,2,1,5,1,4,7,1
391,1,2,1,4,1,3,4,1
64,1,6,1,5,1,4,4,0
99,3,6,1,5,1,4,5,1
147,7,2,1,2,1,4,4,1
162,1,2,1,4,1,4,4,1
91,3,6,1,5,1,4,5,1
18,3,6,2,5,2,0,1,1
28,1,2,1,2,2,4,4,1
147,3,6,1,5,1,4,4,0
160,1,2,1,4,1,4,3,1
132,3,6,1,5,1,4,6,0
243,1,2,1,1,1,4,6,1
360,1,2,1,2,1,4,3,1
84,1,4,1,4,1,4,4,1
96,2,6,1,5,2,4,3,1
29,1,2,1,1,1,0,1,1
24,1,4,1,4,1,3,4,1
42,1,4,1,3,1,4,2,1
105,1,2,1,2,1,3,4,1
96,1,6,1,5,1,4,3,1
105,1,1,1,2,1,4,4,1
210,1,1,1,1,1,4,4,1
450,1,1,1,5,1,3,7,1
90,1,6,1,5,1,4,3,1
178,1,2,1,2,1,4,4,1
56,3,6,1,4,1,4,9,1
48,1,6,1,6,1,10,2,1
33,3,5,6,4,1,4,4,1
56,1,6,1,5,1,4,2,1
57,1,6,2,5,2,4,7,1
112,1,2,1,4,1,4,4,1
119,1,6,2,5,1,10,1,1
35,3,6,1,5,1,4,4,1
39,3,6,3,2,1,4,5,1
120,1,6,2,2,1,4,3,1
47,3,6,2,2,2,4,4,1
66,3,6,1,6,2,4,5,1
150,3,6,1,2,1,4,2,1
81,1,2,1,6,1,4,8,1
150,1,2,2,2,1,4,2,1
77,3,6,1,6,1,4,5,1
48,3,6,6,5,1,4,4,0
84,3,6,2,6,1,4,5,1
96,1,2,1,2,1,4,5,1
48,1,6,1,3,1,4,4,1
24,3,6,6,3,2,4,3,1
15,1,6,1,2,2,4,3,1
25,1,2,1,3,1,4,3,1
42,3,6,1,2,1,4,2,1
42,3,6,1,5,1,4,6,1
30,1,6,1,2,1,4,3,1
42,3,6,6,2,1,4,4,1
220,1,2,1,2,1,4,6,1
152,1,2,1,4,1,4,3,1
88,1,6,1,4,1,4,3,1
112,1,2,1,2,1,4,2,1
63,3,6,1,2,1,4,2,1
126,3,6,1,4,1,4,6,1
204,1,6,1,4,1,4,4,1
200,1,6,1,2,1,4,6,1
78,1,6,1,6,1,10,4,1
63,3,6,1,2,1,4,5,1
104,1,2,1,5,1,4,4,1
108,3,6,2,5,1,4,5,1
54,3,6,1,5,2,4,7,1
63,1,6,1,6,1,4,2,1
21,1,6,2,5,1,4,4,1
140,3,6,1,6,1,4,2,1
128,1,2,1,5,1,4,3,1
77,3,6,2,5,1,4,6,1
108,1,6,1,6,1,4,5,1
63,1,2,1,2,1,4,3,1
115,1,6,1,5,1,4,4,1
108,1,2,1,5,1,4,5,1
117,1,6,1,3,1,4,6,1
48,3,5,1,6,1,4,3,1
72,3,6,1,3,1,4,5,1
159,1,2,1,3,1,4,3,1
81,3,6,1,3,1,4,7,1
177,3,6,1,6,2,4,3,1
84,3,5,1,5,2,4,7,1
153,3,6,1,4,1,4,5,1
104,1,2,1,2,1,4,4,1
87,3,6,1,2,1,4,4,1
70,3,6,6,2,1,4,8,1
104,3,5,1,2,1,4,4,0
104,1,2,1,2,1,4,5,1
105,3,5,1,3,1,10,2,1
106,3,6,1,3,1,10,2,1
98,3,5,1,3,1,4,4,0
90,1,6,1,3,1,4,4,0
84,3,6,6,3,1,4,3,1
104,1,6,1,2,1,4,7,1
108,3,6,1,2,1,4,4,1
168,1,2,1,2,1,4,4,1
176,1,2,1,2,1,4,5,1
63,1,6,1,4,1,10,5,1
160,1,6,1,2,1,4,6,1
125,1,6,1,2,1,4,9,1
288,1,2,1,5,1,4,4,1
99,1,6,1,3,1,4,3,1
120,1,2,1,5,1,4,5,1
105,1,4,1,5,1,4,5,1
99,1,4,1,4,1,4,2,1
60,3,6,2,5,2,4,2,1
63,3,6,2,4,2,4,4,1
54,3,6,1,2,2,4,4,1
35,3,8,6,5,1,4,4,1
63,3,6,1,2,2,4,3,1
81,3,6,2,4,1,4,5,1
144,1,4,1,2,1,4,4,1
95,3,6,1,5,1,10,7,1
84,3,6,1,4,1,4,5,1
108,1,4,1,4,1,4,6,1
45,3,6,2,5,2,4,3,1
42,3,6,6,4,2,10,3,1
57,3,6,1,2,1,4,6,1
40,3,5,2,5,2,4,4,1
105,1,2,1,4,1,4,6,1
60,3,6,1,5,1,10,5,1
55,3,6,1,4,1,10,4,1
43,3,6,1,4,1,10,4,1
129,1,2,1,5,1,4,4,1
108,1,2,2,5,1,10,4,1
84,3,6,1,5,1,4,3,1
30,3,6,1,4,1,10,5,1
54,3,6,2,5,2,4,3,1
55,3,6,1,2,1,10,7,1
64,1,6,1,5,1,10,3,1
104,3,6,2,5,1,10,5,1
85,3,8,1,5,1,10,5,1
108,1,6,1,5,1,10,5,0
78,3,6,6,6,1,10,3,1
60,1,6,2,6,2,10,3,1
119,3,6,1,5,1,4,6,0
66,3,8,1,5,2,4,2,1
102,3,6,2,5,1,4,1,1
54,3,6,4,6,1,4,3,1
35,3,6,1,6,1,4,3,1
186,1,6,1,6,1,4,2,1
105,3,6,1,5,1,10,6,1
180,1,2,1,6,1,4,3,1
52,3,6,6,6,1,7,4,1
96,3,6,6,8,1,4,9,1
68,3,6,1,6,2,10,4,1
62,3,6,6,6,4,10,5,1
105,3,6,6,6,1,4,4,1
102,3,6,6,6,1,10,4,1
125,3,6,1,8,1,4,3,1
102,3,6,1,8,1,4,5,1
102,3,6,1,8,1,4,5,1
72,3,6,1,8,1,4,4,1
105,1,6,1,8,1,4,4,1
108,1,6,1,4,1,4,4,1
180,1,2,1,4,1,4,2,1
72,3,6,1,8,1,4,7,1
80,1,2,1,4,1,4,6,1
150,1,4,1,4,1,4,7,1
98,3,6,1,8,1,4,5,1
140,3,6,1,4,1,4,4,1
54,3,6,1,5,1,4,3,1
98,1,6,2,4,1,4,4,1
63,3,6,6,6,1,4,6,1
63,3,6,1,4,1,4,5,1
108,1,2,1,4,1,4,2,1
24,3,6,6,2,1,4,3,1
63,3,6,1,4,2,4,3,1
273,1,2,1,2,1,4,7,1
110,3,6,1,4,3,4,8,1
84,3,6,1,2,1,3,3,1
170,1,1,1,2,1,4,4,1
72,3,8,1,6,2,4,5,0
83,3,6,1,4,2,4,5,1
103,1,2,1,8,1,4,3,1
46,3,6,1,6,1,10,3,1
38,3,8,4,8,2,4,5,1
88,3,6,6,4,1,4,1,1
86,3,6,6,8,1,10,3,1
94,3,5,1,4,1,4,2,1
58,3,6,1,8,3,10,2,1
96,3,6,1,5,1,4,3,1
102,3,5,1,6,4,4,3,1
84,3,6,1,3,2,10,2,1
48,3,6,6,3,2,4,4,1
128,3,6,2,3,1,4,6,1
160,3,6,1,5,1,4,3,1
48,3,6,6,2,2,10,2,1
114,1,1,2,3,1,4,4,1
132,1,1,1,3,1,10,2,1
63,3,6,6,5,1,10,4,1
70,1,6,1,3,1,4,5,1
63,3,6,1,3,2,4,8,0
206,1,6,1,5,1,10,3,1
63,3,6,4,2,2,4,3,1
110,1,1,1,6,1,4,5,1
196,1,2,1,3,1,4,6,1
108,1,6,1,5,1,4,3,1
150,1,6,1,3,1,4,3,1
126,1,6,1,5,1,4,6,1
136,1,2,1,2,1,4,7,1
152,1,6,1,5,1,10,4,0
89,1,1,1,6,1,4,4,1
150,3,6,1,5,1,4,4,1
180,1,2,1,2,1,4,6,1
116,1,6,1,5,1,4,7,1
18,1,1,1,1,2,4,1,1
130,1,1,1,1,1,2,5,1
63,3,6,1,1,1,4,4,1
170,1,6,2,5,1,4,4,1
375,1,1,1,1,1,4,2,1
209,1,2,1,4,1,4,5,1
108,1,6,1,1,2,4,2,1
32,3,6,2,4,2,4,4,1
84,1,4,1,4,1,4,5,1
126,1,2,1,4,1,4,4,1
80,1,6,1,4,1,4,4,1
126,1,1,1,2,1,4,5,1
98,1,6,1,2,2,4,6,1
128,1,6,1,4,1,4,6,1
78,1,1,1,4,1,4,2,1
54,3,6,1,5,1,4,4,0
98,1,6,1,4,1,3,2,1
72,3,6,2,2,1,4,5,1
84,1,6,1,2,1,4,4,1
120,1,2,1,2,1,4,6,1
77,3,6,2,2,2,4,4,1
140,1,6,1,4,1,4,3,1
60,1,5,2,2,1,4,4,1
90,3,6,1,2,1,4,5,1
35,3,8,2,2,1,4,4,1
88,1,6,1,2,1,4,4,1
105,1,2,1,2,1,4,8,1
112,1,6,1,4,1,4,6,1
36,3,6,1,5,2,10,2,0
60,3,6,1,4,1,10,4,1
54,3,6,1,3,1,4,4,1
42,3,8,2,6,2,10,1,1
54,1,6,1,5,1,4,5,1
84,1,1,1,5,1,4,2,1
45,3,6,1,3,1,4,3,1
42,3,5,1,6,1,10,2,1
66,1,6,1,5,1,4,2,1
135,1,2,1,2,1,4,4,1
192,1,2,1,2,1,4,2,1
72,3,2,1,2,1,4,3,1
60,3,6,1,2,1,4,2,1
38,3,6,2,4,1,4,4,1
72,4,6,1,4,1,4,5,1
162,1,2,1,4,1,4,8,1
54,1,6,1,6,1,4,2,1
120,1,6,1,2,1,4,2,1
98,1,2,1,5,1,10,2,1
72,3,6,1,4,1,4,4,1
72,1,6,1,4,2,4,3,1
84,1,2,1,5,1,4,2,1
54,3,6,1,5,2,4,4,1
63,3,5,1,4,1,4,3,1
25,3,8,6,6,2,4,3,1
63,3,6,1,5,2,4,2,1
20,3,6,1,4,2,10,1,1
84,3,6,1,5,1,4,6,1
203,1,6,1,2,1,4,5,1
90,1,6,1,5,1,4,4,1
105,1,6,1,4,1,4,8,1
63,3,6,6,5,2,4,2,1
100,3,6,1,4,1,4,5,1
126,1,6,1,5,1,4,4,1
60,3,6,1,4,1,4,4,1
66,3,6,1,5,2,4,3,1
92,1,6,1,5,1,4,4,1
90,1,2,1,4,1,4,5,1
72,1,6,1,5,1,4,5,1
72,3,6,6,4,1,4,7,1
250,1,2,1,4,1,4,3,1
220,1,2,1,4,1,4,6,1
160,1,2,1,4,1,4,3,1
105,3,6,6,4,1,4,6,1
200,1,6,1,4,1,4,6,1
63,1,6,1,4,1,4,5,1
170,1,6,1,4,1,4,6,1
36,3,8,6,4,1,4,2,1
56,3,6,1,4,1,4,4,1
110,1,2,1,4,1,4,6,1
84,1,2,1,2,1,4,5,1
78,1,2,1,4,1,4,3,1
64,3,6,1,6,1,10,5,1
108,1,2,1,2,1,2,1,1
60,3,6,1,5,1,4,4,1
108,1,6,1,3,1,4,2,1
83,1,2,1,4,1,4,5,1
77,1,6,1,6,1,10,4,0
84,1,6,2,4,1,10,3,1
35,3,6,1,5,2,4,5,1
84,1,6,1,5,1,4,2,1
126,1,2,1,5,1,4,5,1
144,1,6,1,5,1,4,5,1
35,3,6,1,5,1,4,5,1
120,1,6,1,5,1,4,6,1
48,3,6,1,5,1,4,4,1
63,3,6,1,5,1,4,4,1
98,2,6,2,5,1,4,5,1
105,1,6,1,5,1,4,5,1
93,1,6,1,5,2,4,4,1
48,1,6,2,5,1,10,3,1
72,1,6,6,5,1,10,3,1
28,3,6,1,5,1,4,3,1
26,3,6,1,5,2,4,3,1
80,1,6,1,5,1,4,3,1
84,3,6,1,5,1,10,6,1
54,3,6,1,6,2,4,4,1
54,3,6,1,5,1,4,4,1
120,1,2,1,5,1,4,5,1
84,3,6,1,5,1,4,4,1
81,1,1,1,2,1,4,3,1
63,3,6,1,4,1,4,4,1
54,1,6,1,2,1,4,2,1
30,3,6,1,2,2,4,3,1
84,3,6,1,5,1,10,2,1
105,1,2,1,5,1,4,4,1
224,1,2,1,2,1,4,7,1
24,3,6,1,2,1,4,1,1
72,1,6,1,4,1,4,5,1
120,1,6,1,5,1,4,5,1
90,3,6,1,5,1,4,3,1
63,3,6,1,5,1,4,4,1
176,3,6,1,5,1,4,2,1
66,3,6,1,5,2,4,3,1
70,3,6,1,6,1,10,6,0
108,1,6,1,5,1,4,2,1
105,1,2,1,5,1,4,3,1
60,1,6,1,5,1,4,4,1
78,3,6,1,5,1,4,5,1
48,3,6,1,2,1,10,3,1
54,3,6,6,2,1,4,2,1
77,3,6,6,6,1,4,4,1
63,1,6,6,5,1,4,1,1
107,1,6,1,6,1,4,4,1
44,3,6,6,2,1,10,4,1
128,1,2,1,2,1,4,4,1
160,1,6,1,5,1,4,11,1
84,1,6,1,6,2,4,4,1
45,3,6,6,6,1,4,5,1
76,1,2,1,5,1,4,4,1
90,1,6,6,5,1,4,5,1
80,1,2,1,5,1,4,4,1
91,1,6,1,7,1,4,4,1
45,3,6,2,2,2,4,3,1
36,1,6,6,7,1,4,4,1
54,3,6,1,5,1,4,2,1
72,3,6,6,5,1,4,5,1
126,3,6,1,4,1,4,4,1
84,1,2,1,5,1,4,2,1
72,1,6,1,3,1,4,5,1
105,1,2,1,5,1,4,5,1
65,3,6,1,5,1,4,4,1
91,3,5,1,3,3,4,5,1
161,1,6,1,3,3,4,6,1
105,3,5,6,3,3,4,2,1
62,3,6,1,6,1,4,3,1
117,1,6,1,6,1,4,5,1
72,3,6,6,5,1,10,2,1
44,3,6,1,3,1,4,5,1
150,1,2,1,4,1,2,3,1
200,1,2,1,4,1,4,6,1
96,1,2,1,4,1,4,6,1
60,3,5,1,4,1,4,5,0
70,3,6,1,4,1,4,3,1
55,3,8,1,6,1,4,4,1
120,1,2,1,4,1,4,9,1
96,1,2,1,4,1,4,3,1
55,3,6,1,6,1,4,3,1
98,1,6,2,4,1,4,4,1
54,1,6,2,5,1,4,7,1
120,1,6,1,5,1,4,8,1
42,3,6,1,5,1,4,5,1
40,3,6,1,5,1,4,5,1
84,3,2,1,5,1,4,5,1
96,1,6,1,5,1,4,3,1
45,3,6,1,5,1,4,4,1
120,1,2,1,6,1,4,5,1
72,1,6,6,5,2,4,3,1
66,3,6,1,5,1,4,8,0
98,1,6,1,5,1,4,6,1
55,3,8,4,3,1,4,5,1
98,1,6,1,5,1,4,5,1
118,1,2,1,2,1,4,5,1
98,1,6,1,5,1,10,2,1
109,1,6,1,5,1,4,6,1
78,1,6,1,2,1,4,4,1
58,3,6,1,5,1,4,5,1
90,1,6,1,6,1,4,3,1
118,1,4,1,5,1,4,7,1
133,3,6,1,5,1,10,1,1
35,3,5,1,6,4,10,1,1
54,3,6,1,5,2,4,2,1
28,7,8,4,6,2,4,4,0
39,3,8,1,4,2,10,3,1
26,3,8,1,6,2,10,5,1
133,1,6,1,6,1,10,8,1
39,3,5,1,3,3,10,4,1
105,1,2,1,4,1,4,6,1
63,3,6,1,7,1,4,6,1
68,1,6,1,3,1,4,5,1
126,1,2,1,7,1,4,5,1
80,1,6,6,7,1,4,5,1
80,1,6,1,7,1,4,6,1
108,3,5,1,7,1,4,3,1
110,7,8,2,7,1,4,7,1
99,1,6,1,7,1,4,5,1
99,7,5,6,7,1,4,5,1
119,1,2,1,7,1,4,9,1
63,3,5,1,7,1,4,3,1
63,3,6,1,4,1,4,5,1
168,1,6,1,4,1,4,7,1
176,1,2,1,2,1,4,6,1
99,3,6,2,4,1,4,3,1
99,3,6,1,2,1,4,3,1
180,1,2,1,2,1,4,5,1
319,1,2,1,2,1,4,6,1
108,1,6,1,2,1,4,6,1
24,3,8,6,2,1,10,2,1
171,1,6,1,2,1,4,6,1
126,1,6,1,2,1,4,6,1
104,1,6,1,2,1,4,6,1
88,1,6,1,6,1,10,3,1
117,1,2,1,2,1,4,9,1
63,3,5,1,5,1,4,8,1
24,3,6,6,8,1,10,1,1
63,3,6,6,8,1,10,1,1
88,1,6,1,2,1,4,6,1
96,1,6,1,6,1,4,6,1
35,3,6,6,6,4,10,1,1
91,1,6,1,5,1,4,3,1
42,3,5,6,5,3,4,1,1
83,3,6,1,5,1,4,3,1
150,3,6,6,5,2,4,3,1
34,3,6,6,5,1,4,3,1
72,1,4,1,2,1,4,5,1
50,3,6,6,5,3,4,4,1
98,1,6,4,5,1,4,6,1
72,1,6,1,5,1,4,3,1
70,3,6,6,5,3,4,7,0
84,1,6,1,5,1,4,3,1
120,1,6,1,2,1,4,6,1
75,3,6,1,7,2,4,4,1
56,3,6,6,7,2,10,2,1
91,3,6,4,5,1,4,5,1
72,3,7,2,7,2,4,4,1
120,1,6,1,5,1,4,6,1
184,1,1,1,5,1,4,3,1
78,3,6,1,5,1,4,7,1
84,1,6,1,5,1,4,6,1
120,1,6,1,2,1,4,6,1
96,3,6,1,2,1,4,9,1
42,3,6,6,2,1,4,5,1
91,1,6,1,5,1,10,1,1
42,3,6,1,2,2,4,4,1
108,1,2,1,5,1,4,3,1
83,3,6,1,5,1,4,4,1
68,1,6,6,5,1,10,2,1
105,1,2,1,5,1,4,7,1
63,1,2,1,2,1,4,6,1
36,1,6,1,5,2,4,5,1
24,3,6,6,4,2,4,2,1
38,3,6,6,4,2,4,4,1
28,3,6,6,5,2,10,5,1
24,3,5,6,4,2,10,2,1
48,3,8,6,4,4,10,1,1
112,1,6,1,4,1,4,5,1
48,3,6,6,4,2,10,2,1
92,1,6,1,6,1,10,3,1
48,3,6,6,4,2,10,4,1
72,3,6,1,8,1,4,5,1
92,1,2,1,2,1,4,4,1
83,1,6,1,9,1,7,2,1
84,1,1,1,2,1,4,3,1
35,3,6,1,8,1,10,1,1
88,1,2,1,2,1,4,6,1
54,1,6,1,2,1,4,4,1
63,3,6,1,2,1,4,5,1
112,1,2,1,2,1,4,4,1
104,1,2,1,7,1,4,6,1
78,7,5,1,7,1,10,4,1
54,3,6,1,7,3,4,5,1
96,1,2,1,7,1,4,5,1
35,7,5,1,2,2,4,4,1
54,3,5,1,2,1,4,5,1
120,1,2,1,7,1,4,7,1
63,3,5,1,2,2,4,4,1
63,3,5,1,7,1,10,6,1
